Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
$500-$649,4,5,6,5,8,3,11,3,0,51,Batesford
$650-$799,6,4,6,9,8,9,5,5,0,49,Batesford
$800-$999 ,3,10,5,9,14,18,0,3,0,62,Batesford
"$1,000-$1,249",4,6,8,17,19,16,12,0,0,79,Batesford
"$1,250-$1,499",0,0,9,14,14,15,6,0,0,55,Batesford
"$1,500-$1,749",0,3,9,11,14,9,5,0,0,51,Batesford
"$1,750-$1,999",0,0,3,13,15,8,3,0,0,47,Batesford
"$2,000-$2,999",0,0,3,37,32,11,5,0,0,88,Batesford
"$3,000-$3,499",0,0,0,11,4,6,0,0,0,27,Batesford
"$3,500 or more",0,0,4,16,23,9,0,0,0,57,Batesford
Personal income not stated,10,3,4,4,8,4,9,0,4,40,Batesford
Total,109,68,59,158,197,149,89,41,7,871,Batesford
Negative/Nil income,8,10,8,3,9,7,13,0,0,54,Yellingbo
$1-$149,8,0,0,0,0,7,5,0,0,15,Yellingbo
$150-$299,6,7,0,0,0,0,3,3,0,27,Yellingbo
$300-$399,0,0,0,0,4,10,9,3,0,28,Yellingbo
$400-$499,5,4,0,6,6,6,16,0,0,38,Yellingbo
$500-$649,3,3,0,4,9,9,10,0,0,38,Yellingbo
$650-$799,3,5,0,5,10,8,0,0,0,30,Yellingbo
$800-$999 ,4,0,6,4,9,5,4,3,0,31,Yellingbo
"$1,000-$1,249",0,0,11,4,10,10,3,0,0,36,Yellingbo
"$1,250-$1,499",0,4,8,3,7,9,0,0,0,27,Yellingbo
"$1,500-$1,749",0,3,11,3,12,9,0,0,0,39,Yellingbo
"$1,750-$1,999",0,0,3,3,8,7,0,0,0,28,Yellingbo
"$2,000-$2,999",0,0,0,8,6,9,0,0,0,32,Yellingbo
"$3,000-$3,499",0,0,0,4,0,0,0,0,0,8,Yellingbo
"$3,500 or more",0,0,3,0,0,9,0,0,0,14,Yellingbo
Personal income not stated,6,0,6,4,9,4,10,0,5,47,Yellingbo
Total,41,30,60,63,89,106,74,22,9,489,Yellingbo
Negative/Nil income,6,0,0,0,0,0,0,0,0,6,Upper Gundowring
$1-$149,4,0,0,0,0,0,0,0,0,4,Upper Gundowring
$150-$299,0,0,0,4,0,0,0,0,0,3,Upper Gundowring
$300-$399,0,0,0,3,5,6,3,0,0,7,Upper Gundowring
$400-$499,0,0,0,0,0,0,4,0,0,10,Upper Gundowring
$500-$649,0,0,0,0,3,0,0,0,0,11,Upper Gundowring
$650-$799,0,0,0,0,3,0,0,4,0,9,Upper Gundowring
$800-$999 ,0,0,0,0,0,3,0,0,0,3,Upper Gundowring
"$1,000-$1,249",0,0,0,0,3,5,0,0,0,7,Upper Gundowring
"$1,250-$1,499",0,0,0,0,5,0,0,0,0,4,Upper Gundowring
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Upper Gundowring
"$1,750-$1,999",0,0,3,0,0,0,0,0,0,4,Upper Gundowring
"$2,000-$2,999",0,0,0,0,3,3,0,0,0,8,Upper Gundowring
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Upper Gundowring
"$3,500 or more",0,0,0,3,0,0,0,0,0,4,Upper Gundowring
Personal income not stated,0,0,0,0,0,0,6,0,0,7,Upper Gundowring
Total,8,6,7,12,25,14,13,7,3,98,Upper Gundowring
Negative/Nil income,24,5,3,3,10,9,8,0,0,65,Macclesfield (Vic.)
$1-$149,14,0,0,0,5,0,0,0,0,29,Macclesfield (Vic.)
$150-$299,9,3,0,5,6,7,11,3,0,42,Macclesfield (Vic.)
$300-$399,3,3,0,6,3,4,10,8,0,38,Macclesfield (Vic.)
$400-$499,0,5,3,7,9,9,26,5,6,64,Macclesfield (Vic.)
$500-$649,3,4,0,0,7,17,15,3,0,59,Macclesfield (Vic.)
$650-$799,0,15,9,3,10,9,12,3,0,60,Macclesfield (Vic.)
$800-$999 ,5,5,11,0,10,17,3,0,0,56,Macclesfield (Vic.)
"$1,000-$1,249",0,5,9,3,18,16,3,0,0,56,Macclesfield (Vic.)
"$1,250-$1,499",0,3,8,3,15,9,13,3,0,56,Macclesfield (Vic.)
"$1,500-$1,749",0,0,3,10,19,16,3,0,0,54,Macclesfield (Vic.)
"$1,750-$1,999",0,0,0,7,3,12,6,0,0,26,Macclesfield (Vic.)
"$2,000-$2,999",0,0,3,9,31,15,5,3,0,57,Macclesfield (Vic.)
"$3,000-$3,499",0,0,0,0,3,3,0,0,0,11,Macclesfield (Vic.)
"$3,500 or more",0,0,0,10,15,15,3,0,0,36,Macclesfield (Vic.)
Personal income not stated,3,3,4,4,8,14,4,7,0,43,Macclesfield (Vic.)
Total,61,55,59,74,166,163,118,46,11,757,Macclesfield (Vic.)
Negative/Nil income,10,3,3,4,4,17,3,0,0,41,Surf Beach (Vic.)
$1-$149,14,0,0,5,0,0,0,0,0,18,Surf Beach (Vic.)
$150-$299,3,0,4,4,3,5,4,6,0,26,Surf Beach (Vic.)
$300-$399,0,0,3,3,5,5,15,5,0,41,Surf Beach (Vic.)
$400-$499,0,5,4,0,10,8,15,6,0,44,Surf Beach (Vic.)
$500-$649,0,0,9,3,4,12,12,0,0,42,Surf Beach (Vic.)
$650-$799,0,6,9,9,8,16,7,4,0,55,Surf Beach (Vic.)
$800-$999 ,0,11,9,11,5,14,4,0,0,52,Surf Beach (Vic.)
"$1,000-$1,249",0,3,7,5,7,13,9,0,0,45,Surf Beach (Vic.)
"$1,250-$1,499",0,0,9,9,15,11,0,3,0,40,Surf Beach (Vic.)
"$1,500-$1,749",0,0,8,8,4,8,0,0,0,29,Surf Beach (Vic.)
"$1,750-$1,999",0,0,3,3,9,8,0,0,0,23,Surf Beach (Vic.)
"$2,000-$2,999",0,0,0,6,12,20,4,0,0,36,Surf Beach (Vic.)
"$3,000-$3,499",0,0,0,5,0,6,0,0,0,8,Surf Beach (Vic.)
"$3,500 or more",0,0,0,0,0,4,0,0,0,4,Surf Beach (Vic.)
Personal income not stated,6,6,3,12,8,14,3,4,0,51,Surf Beach (Vic.)
Total,31,31,67,79,92,138,80,29,4,554,Surf Beach (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Tarrayoukyan
$1-$149,0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
$150-$299,0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
$300-$399,0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
$400-$499,0,0,0,0,0,0,0,0,0,3,Tarrayoukyan
$500-$649,0,0,0,0,0,0,0,0,0,3,Tarrayoukyan
$650-$799,0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
$800-$999 ,0,0,0,0,0,4,0,0,0,4,Tarrayoukyan
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,5,Tarrayoukyan
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Tarrayoukyan
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Tarrayoukyan
Total,0,4,3,0,4,11,5,4,0,25,Tarrayoukyan
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Brewster
$1-$149,0,0,0,0,0,0,0,0,0,0,Brewster
$150-$299,0,0,0,0,0,0,0,0,0,0,Brewster
$300-$399,0,0,0,0,3,0,0,0,0,4,Brewster
$400-$499,0,0,0,0,0,0,0,0,0,0,Brewster
$500-$649,0,0,0,0,0,0,0,4,0,5,Brewster
$650-$799,0,0,0,0,0,0,0,0,0,0,Brewster
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Brewster
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Brewster
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,3,Brewster
"$1,500-$1,749",0,0,0,0,0,6,4,0,0,3,Brewster
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Brewster
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Brewster
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Brewster
"$3,500 or more",0,0,0,0,0,3,0,0,0,0,Brewster
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Brewster
Total,0,9,0,4,3,8,8,4,0,38,Brewster
Negative/Nil income,3,0,0,0,0,0,0,0,0,5,Koallah
$1-$149,0,0,0,0,0,0,0,0,0,0,Koallah
$150-$299,0,0,0,0,0,0,0,0,0,0,Koallah
$300-$399,0,0,0,0,0,0,0,0,0,0,Koallah
$400-$499,0,0,0,0,0,0,0,0,0,0,Koallah
$500-$649,0,0,0,0,0,3,0,0,0,6,Koallah
$650-$799,0,0,0,0,0,0,0,0,0,0,Koallah
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Koallah
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,3,Koallah
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,4,Koallah
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Koallah
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Koallah
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Koallah
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,3,Koallah
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Koallah
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Koallah
Total,3,0,0,0,3,7,0,0,0,30,Koallah
Negative/Nil income,3,0,0,0,0,0,0,0,0,3,Loddon Vale
$1-$149,0,0,0,0,0,0,0,0,0,0,Loddon Vale
$150-$299,0,0,0,0,0,0,3,0,0,5,Loddon Vale
$300-$399,0,0,0,0,0,0,0,0,0,0,Loddon Vale
$400-$499,0,0,0,0,0,0,0,0,0,0,Loddon Vale
$500-$649,0,0,0,0,0,3,3,0,0,6,Loddon Vale
$650-$799,0,0,0,0,0,0,0,0,0,0,Loddon Vale
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Loddon Vale
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Loddon Vale
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Loddon Vale
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Loddon Vale
Total,3,0,0,0,3,6,3,4,0,20,Loddon Vale
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Kennedys Creek
$1-$149,0,0,0,0,0,0,4,0,0,4,Kennedys Creek
$150-$299,0,0,0,0,0,0,0,0,0,0,Kennedys Creek
$300-$399,0,0,0,0,0,0,0,0,0,0,Kennedys Creek
$400-$499,0,0,0,0,0,0,0,0,0,0,Kennedys Creek
$500-$649,0,0,0,0,0,0,0,0,0,9,Kennedys Creek
$650-$799,0,0,0,0,0,0,0,0,0,5,Kennedys Creek
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Kennedys Creek
"$1,000-$1,249",0,0,0,0,0,6,0,0,0,5,Kennedys Creek
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Kennedys Creek
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Kennedys Creek
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Kennedys Creek
"$2,000-$2,999",0,0,0,0,4,0,0,0,0,3,Kennedys Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Kennedys Creek
"$3,500 or more",0,0,4,0,0,0,0,0,0,4,Kennedys Creek
Personal income not stated,0,0,0,0,0,0,0,0,0,3,Kennedys Creek
Total,0,0,9,0,12,7,3,3,0,36,Kennedys Creek
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Swan Marsh
$1-$149,3,0,0,0,0,0,0,0,0,3,Swan Marsh
$150-$299,0,0,0,0,0,0,0,0,0,0,Swan Marsh
$300-$399,0,0,3,0,0,0,0,0,0,12,Swan Marsh
$400-$499,0,0,0,0,3,4,4,0,0,11,Swan Marsh
$500-$649,0,3,4,0,0,0,0,0,0,6,Swan Marsh
$650-$799,0,6,6,0,3,0,3,0,0,15,Swan Marsh
$800-$999 ,0,0,5,0,8,0,0,0,0,17,Swan Marsh
"$1,000-$1,249",0,3,0,0,0,0,0,0,0,9,Swan Marsh
"$1,250-$1,499",0,0,0,0,0,0,4,0,0,10,Swan Marsh
"$1,500-$1,749",0,0,0,0,0,9,0,0,0,3,Swan Marsh
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Swan Marsh
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Swan Marsh
"$3,000-$3,499",0,0,0,0,3,0,0,0,0,3,Swan Marsh
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Swan Marsh
Personal income not stated,3,0,0,0,5,4,4,0,0,13,Swan Marsh
Total,8,14,22,6,25,19,13,3,0,109,Swan Marsh
Negative/Nil income,28,4,6,11,15,10,9,0,0,86,Hopetoun Park
$1-$149,12,3,3,4,0,4,5,0,0,30,Hopetoun Park
$150-$299,6,7,0,4,3,3,11,0,0,34,Hopetoun Park
$300-$399,0,9,0,7,8,3,12,6,0,47,Hopetoun Park
$400-$499,3,5,0,3,3,0,5,4,0,31,Hopetoun Park
$500-$649,0,3,0,6,12,9,10,0,0,50,Hopetoun Park
$650-$799,3,11,9,13,9,4,12,0,0,44,Hopetoun Park
$800-$999 ,0,3,9,11,13,11,0,0,0,47,Hopetoun Park
"$1,000-$1,249",0,4,3,12,14,4,0,0,0,44,Hopetoun Park
"$1,250-$1,499",0,5,4,16,16,5,3,0,0,50,Hopetoun Park
"$1,500-$1,749",0,0,6,20,16,14,6,0,0,59,Hopetoun Park
"$1,750-$1,999",0,0,5,5,8,13,0,0,0,36,Hopetoun Park
"$2,000-$2,999",0,0,3,22,23,8,7,0,0,68,Hopetoun Park
"$3,000-$3,499",0,0,0,7,3,0,0,0,0,10,Hopetoun Park
"$3,500 or more",0,0,0,10,7,8,0,0,0,20,Hopetoun Park
Personal income not stated,4,6,5,3,4,0,5,0,0,22,Hopetoun Park
Total,66,60,60,159,159,95,71,15,3,681,Hopetoun Park
Negative/Nil income,4,0,0,3,0,3,0,0,0,22,Kyvalley
$1-$149,8,0,0,0,0,0,0,3,0,16,Kyvalley
$150-$299,7,0,0,0,3,5,0,0,0,11,Kyvalley
$300-$399,0,0,0,3,0,0,11,8,0,22,Kyvalley
$400-$499,0,0,0,0,5,0,9,0,0,17,Kyvalley
$500-$649,0,5,0,0,5,8,3,3,0,22,Kyvalley
$650-$799,4,4,6,3,4,4,0,4,0,22,Kyvalley
$800-$999 ,0,0,3,4,3,0,3,0,0,31,Kyvalley
"$1,000-$1,249",0,0,0,0,12,8,0,0,0,28,Kyvalley
"$1,250-$1,499",0,0,6,3,3,3,4,0,0,20,Kyvalley
"$1,500-$1,749",0,0,0,0,8,4,0,0,0,15,Kyvalley
"$1,750-$1,999",0,0,3,3,4,11,0,0,0,15,Kyvalley
"$2,000-$2,999",0,0,4,5,4,0,0,0,0,9,Kyvalley
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,4,Kyvalley
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Kyvalley
Personal income not stated,3,0,9,5,3,3,4,0,0,19,Kyvalley
Total,24,11,31,43,55,52,36,23,4,280,Kyvalley
Negative/Nil income,10,0,0,0,0,4,7,0,0,25,Koonwarra
$1-$149,4,0,0,0,0,0,0,0,0,9,Koonwarra
$150-$299,6,0,0,0,0,0,7,3,0,25,Koonwarra
$300-$399,0,0,0,0,0,3,8,3,0,22,Koonwarra
$400-$499,0,0,4,0,3,8,8,3,4,26,Koonwarra
$500-$649,3,0,0,0,5,8,9,0,0,25,Koonwarra
$650-$799,0,6,0,0,3,4,3,0,0,24,Koonwarra
$800-$999 ,0,3,5,3,8,10,4,0,0,29,Koonwarra
"$1,000-$1,249",0,0,3,0,9,14,4,0,0,28,Koonwarra
"$1,250-$1,499",0,3,0,7,8,9,0,0,0,24,Koonwarra
"$1,500-$1,749",0,4,0,8,8,7,0,0,0,17,Koonwarra
"$1,750-$1,999",0,0,0,3,9,0,0,0,0,15,Koonwarra
"$2,000-$2,999",0,0,0,4,9,7,0,0,0,22,Koonwarra
"$3,000-$3,499",0,0,0,0,0,0,6,0,0,10,Koonwarra
"$3,500 or more",0,0,0,0,4,4,0,0,0,7,Koonwarra
Personal income not stated,0,0,5,0,6,5,0,0,6,17,Koonwarra
Total,24,21,17,29,60,85,50,24,7,321,Koonwarra
Negative/Nil income,8,0,0,0,3,7,0,3,4,22,Jamieson (Vic.)
$1-$149,0,0,0,0,0,6,0,0,0,9,Jamieson (Vic.)
$150-$299,0,0,0,0,0,5,4,0,0,14,Jamieson (Vic.)
$300-$399,0,0,0,0,6,3,31,11,5,53,Jamieson (Vic.)
$400-$499,0,0,0,3,0,5,22,7,3,42,Jamieson (Vic.)
$500-$649,0,3,3,4,4,0,11,3,0,34,Jamieson (Vic.)
$650-$799,0,0,0,5,0,9,6,0,0,17,Jamieson (Vic.)
$800-$999 ,0,0,3,0,5,0,4,5,0,18,Jamieson (Vic.)
"$1,000-$1,249",0,0,0,3,0,3,0,0,0,14,Jamieson (Vic.)
"$1,250-$1,499",0,0,0,0,0,9,0,0,0,14,Jamieson (Vic.)
"$1,500-$1,749",0,0,0,0,0,7,0,0,0,11,Jamieson (Vic.)
"$1,750-$1,999",0,0,0,4,0,3,0,0,0,10,Jamieson (Vic.)
"$2,000-$2,999",0,0,0,7,0,9,0,0,0,13,Jamieson (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Jamieson (Vic.)
"$3,500 or more",0,0,0,4,0,0,4,0,0,6,Jamieson (Vic.)
Personal income not stated,0,0,4,5,7,16,17,6,8,68,Jamieson (Vic.)
Total,14,0,18,36,35,86,107,43,14,350,Jamieson (Vic.)
Negative/Nil income,80,7,14,11,22,8,9,9,3,165,Lake Wendouree
$1-$149,50,10,4,4,3,7,13,4,0,102,Lake Wendouree
$150-$299,14,13,5,5,15,5,12,16,4,90,Lake Wendouree
$300-$399,4,7,5,9,3,14,29,40,13,131,Lake Wendouree
$400-$499,7,8,7,5,9,16,34,37,21,141,Lake Wendouree
$500-$649,4,10,13,18,18,26,37,35,12,177,Lake Wendouree
$650-$799,0,13,12,15,20,21,29,26,3,145,Lake Wendouree
$800-$999 ,3,20,19,9,13,20,42,17,10,159,Lake Wendouree
"$1,000-$1,249",5,9,11,18,39,35,45,28,0,196,Lake Wendouree
"$1,250-$1,499",0,5,11,11,31,33,23,15,6,137,Lake Wendouree
"$1,500-$1,749",0,5,18,20,27,32,18,10,7,139,Lake Wendouree
"$1,750-$1,999",0,0,11,14,21,27,22,13,4,106,Lake Wendouree
"$2,000-$2,999",0,0,13,41,57,65,38,11,0,214,Lake Wendouree
"$3,000-$3,499",0,0,0,14,23,29,7,4,0,82,Lake Wendouree
"$3,500 or more",0,0,7,46,81,59,36,15,8,247,Lake Wendouree
Personal income not stated,10,3,4,13,20,28,37,39,84,249,Lake Wendouree
Total,178,117,169,261,391,431,440,317,182,2480,Lake Wendouree
Negative/Nil income,0,0,0,0,0,0,0,0,0,14,Mangalore (Vic.)
$1-$149,3,0,0,0,0,0,0,0,0,9,Mangalore (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,8,Mangalore (Vic.)
$300-$399,0,0,0,0,0,0,0,0,0,9,Mangalore (Vic.)
$400-$499,0,0,0,0,0,4,3,0,0,12,Mangalore (Vic.)
$500-$649,0,0,0,0,5,4,0,0,0,9,Mangalore (Vic.)
$650-$799,0,0,0,3,0,0,0,3,0,11,Mangalore (Vic.)
$800-$999 ,0,0,3,3,0,0,7,0,0,13,Mangalore (Vic.)
"$1,000-$1,249",0,0,5,0,3,0,0,0,0,14,Mangalore (Vic.)
"$1,250-$1,499",0,0,0,0,0,4,0,0,0,9,Mangalore (Vic.)
"$1,500-$1,749",0,0,0,0,0,9,0,0,0,7,Mangalore (Vic.)
"$1,750-$1,999",0,0,0,0,0,3,0,0,0,4,Mangalore (Vic.)
"$2,000-$2,999",0,0,0,0,0,6,0,0,0,11,Mangalore (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Mangalore (Vic.)
"$3,500 or more",0,0,0,0,0,4,3,0,0,10,Mangalore (Vic.)
Personal income not stated,0,0,0,6,5,4,6,0,0,19,Mangalore (Vic.)
Total,8,7,15,16,19,39,33,15,0,159,Mangalore (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,5,Maroona
$1-$149,0,0,0,0,0,0,0,0,0,0,Maroona
$150-$299,0,0,0,0,0,0,0,0,0,0,Maroona
$300-$399,0,0,0,0,5,0,4,4,0,8,Maroona
$400-$499,0,0,0,0,0,0,0,0,0,3,Maroona
$500-$649,0,0,0,0,0,0,0,0,0,3,Maroona
$650-$799,0,0,0,0,0,0,0,0,0,0,Maroona
$800-$999 ,0,0,0,4,0,5,0,0,0,4,Maroona
"$1,000-$1,249",0,0,0,0,3,0,0,0,0,12,Maroona
"$1,250-$1,499",0,0,0,5,0,0,0,0,0,6,Maroona
"$1,500-$1,749",0,0,0,0,0,0,5,0,0,4,Maroona
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Maroona
"$2,000-$2,999",0,0,0,3,0,0,0,0,0,9,Maroona
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,3,Maroona
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Maroona
Personal income not stated,0,5,4,0,0,3,0,0,0,7,Maroona
Total,5,4,6,14,14,17,13,6,0,71,Maroona
Negative/Nil income,4,0,0,5,0,8,0,0,0,12,Newbridge (Vic.)
$1-$149,0,0,0,3,0,0,3,0,0,6,Newbridge (Vic.)
$150-$299,0,0,0,0,0,7,6,0,0,11,Newbridge (Vic.)
$300-$399,0,0,0,0,4,0,3,0,0,14,Newbridge (Vic.)
$400-$499,0,0,0,0,3,5,9,5,0,27,Newbridge (Vic.)
$500-$649,0,0,0,0,0,8,0,0,0,10,Newbridge (Vic.)
$650-$799,0,0,0,0,0,6,0,0,0,10,Newbridge (Vic.)
$800-$999 ,0,0,0,0,0,3,3,0,0,9,Newbridge (Vic.)
"$1,000-$1,249",0,4,3,0,0,0,3,0,0,13,Newbridge (Vic.)
"$1,250-$1,499",0,0,0,0,0,4,0,0,3,8,Newbridge (Vic.)
"$1,500-$1,749",0,0,0,5,0,6,0,0,0,4,Newbridge (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,7,Newbridge (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Newbridge (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Newbridge (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Newbridge (Vic.)
Personal income not stated,0,0,0,3,5,0,0,0,0,14,Newbridge (Vic.)
Total,6,4,9,15,22,42,32,13,8,153,Newbridge (Vic.)
Negative/Nil income,0,0,0,0,0,3,0,0,0,3,Glen Creek
$1-$149,0,0,0,0,0,0,0,0,0,0,Glen Creek
$150-$299,0,0,0,0,0,0,0,0,0,3,Glen Creek
$300-$399,0,0,0,0,0,0,0,0,0,0,Glen Creek
$400-$499,0,0,0,0,0,4,0,0,0,5,Glen Creek
$500-$649,3,0,0,0,0,0,0,0,0,6,Glen Creek
$650-$799,0,0,0,0,0,0,0,0,0,4,Glen Creek
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Glen Creek
"$1,000-$1,249",0,0,0,0,0,0,3,0,0,8,Glen Creek
"$1,250-$1,499",0,0,0,0,0,6,0,0,0,7,Glen Creek
"$1,500-$1,749",0,0,4,0,0,0,0,0,0,6,Glen Creek
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Glen Creek
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Glen Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Glen Creek
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Glen Creek
Personal income not stated,0,0,3,0,0,0,0,0,0,3,Glen Creek
Total,6,4,11,0,7,13,4,0,0,50,Glen Creek
Negative/Nil income,4,0,0,0,0,5,4,0,0,21,Northwood (Vic.)
$1-$149,4,0,0,0,0,5,0,0,0,7,Northwood (Vic.)
$150-$299,0,0,0,0,3,0,0,0,0,3,Northwood (Vic.)
$300-$399,0,0,0,0,0,0,3,4,0,11,Northwood (Vic.)
$400-$499,0,0,0,3,0,3,4,4,0,14,Northwood (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,7,Northwood (Vic.)
$650-$799,0,4,4,0,0,0,4,0,0,13,Northwood (Vic.)
$800-$999 ,0,6,0,0,6,4,0,0,0,25,Northwood (Vic.)
"$1,000-$1,249",0,0,5,5,3,0,5,0,0,14,Northwood (Vic.)
"$1,250-$1,499",0,0,0,6,3,5,0,0,0,19,Northwood (Vic.)
"$1,500-$1,749",0,0,0,3,0,0,0,0,0,4,Northwood (Vic.)
"$1,750-$1,999",0,0,3,0,0,6,0,0,0,7,Northwood (Vic.)
"$2,000-$2,999",0,0,5,4,0,0,0,0,0,16,Northwood (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Northwood (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Northwood (Vic.)
Personal income not stated,4,0,0,3,7,3,5,0,0,17,Northwood (Vic.)
Total,14,14,28,25,25,34,24,9,4,173,Northwood (Vic.)
Negative/Nil income,5,0,0,0,0,0,0,0,0,12,Mount Glasgow
$1-$149,0,0,0,0,0,0,0,0,0,0,Mount Glasgow
$150-$299,0,0,0,0,0,0,0,0,0,6,Mount Glasgow
$300-$399,0,0,0,0,0,0,0,0,0,3,Mount Glasgow
$400-$499,0,0,0,0,0,0,3,0,0,3,Mount Glasgow
$500-$649,0,0,0,0,0,0,0,0,0,0,Mount Glasgow
$650-$799,0,0,0,0,0,0,0,0,0,0,Mount Glasgow
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Mount Glasgow
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,9,Mount Glasgow
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,5,Mount Glasgow
"$1,500-$1,749",0,0,0,0,0,4,0,0,0,4,Mount Glasgow
"$1,750-$1,999",0,0,0,5,0,0,0,0,0,3,Mount Glasgow
"$2,000-$2,999",0,0,0,4,0,6,0,0,0,9,Mount Glasgow
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Mount Glasgow
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Mount Glasgow
Personal income not stated,8,0,0,0,5,7,3,0,4,17,Mount Glasgow
Total,12,3,0,11,12,21,15,4,4,83,Mount Glasgow
Negative/Nil income,201,32,83,82,78,98,66,18,0,668,Melton (Vic.)
$1-$149,60,12,11,21,13,11,25,8,0,173,Melton (Vic.)
$150-$299,40,49,49,46,44,54,52,23,7,364,Melton (Vic.)
$300-$399,26,40,64,74,94,109,220,129,14,766,Melton (Vic.)
$400-$499,13,38,72,75,74,75,233,130,35,751,Melton (Vic.)
$500-$649,19,35,94,76,79,89,128,63,14,596,Melton (Vic.)
$650-$799,9,51,81,92,71,59,73,22,3,462,Melton (Vic.)
$800-$999 ,7,69,148,99,93,79,36,16,0,555,Melton (Vic.)
